"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/12/2023","AQS","010730023","4","15","ug/m3 SC","14","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/13/2023","AQS","010730023","4","11","ug/m3 SC","10","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/14/2023","AQS","010730023","4","13","ug/m3 SC","12","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/15/2023","AQS","010730023","4","23","ug/m3 SC","21","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/16/2023","AQS","010730023","4","57","ug/m3 SC","52","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/17/2023","AQS","010730023","4","14","ug/m3 SC","13","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/18/2023","AQS","010730023","4","10","ug/m3 SC","9","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/19/2023","AQS","010730023","4","13","ug/m3 SC","12","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/20/2023","AQS","010730023","4","20","ug/m3 SC","19","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/21/2023","AQS","010730023","4","48","ug/m3 SC","44","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/22/2023","AQS","010730023","4","49","ug/m3 SC","45","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/23/2023","AQS","010730023","4","42","ug/m3 SC","39","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/24/2023","AQS","010730023","4","35","ug/m3 SC","32","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/25/2023","AQS","010730023","4","34","ug/m3 SC","31","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"03/26/2023","AQS","010730023","4","38","ug/m3 SC","35","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
